n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,4.244321127887815,1.0,1.0
10000,50,2,4.270082192029804,1.0,1.0
10000,50,3,4.247796416748315,1.0,1.0
10000,50,4,4.2738090618513525,1.0,1.0
10000,50,5,4.262372118420899,1.0,1.0
10000,50,6,4.286177841946483,1.0,1.0
10000,50,7,4.249492600094527,1.0,1.0
10000,50,8,4.281969546806067,1.0,1.0
10000,50,9,4.2371105663478374,1.0,1.0
10000,50,10,4.2774373958818614,1.0,1.0
10000,50,11,4.254766928032041,1.0,1.0
10000,50,12,4.21002550330013,1.0,1.0
10000,50,13,4.298329398036003,1.0,1.0
10000,50,14,4.242395566776395,1.0,1.0
10000,50,15,4.269886382855475,1.0,1.0
10000,50,16,4.236518454737961,1.0,1.0
10000,50,17,4.244188903365284,1.0,1.0
10000,50,18,4.255503175314516,1.0,1.0
10000,50,19,4.2436228189617395,1.0,1.0
10000,50,20,4.258698895573616,1.0,1.0
10000,50,21,4.25860636588186,1.0,1.0
10000,50,22,4.251724495086819,1.0,1.0
10000,50,23,4.243852132000029,1.0,1.0
10000,50,24,4.2554648532532156,1.0,1.0
10000,50,25,4.295335456263274,1.0,1.0
10000,50,26,4.273549744859338,1.0,1.0
10000,50,27,4.305014243349433,1.0,1.0
10000,50,28,4.2464542728848755,1.0,1.0
10000,50,29,4.280623449012637,1.0,1.0
10000,50,30,4.273495573084801,1.0,1.0
10000,50,31,4.268044291064143,1.0,1.0
10000,50,32,4.262539621908218,1.0,1.0
10000,50,33,4.261710132937878,1.0,1.0
10000,50,34,4.284170683007687,1.0,1.0
10000,50,35,4.255185809917748,1.0,1.0
10000,50,36,4.239084432367235,1.0,1.0
10000,50,37,4.263656691182405,1.0,1.0
10000,50,38,4.241430766880512,1.0,1.0
10000,50,39,4.24153739400208,1.0,1.0
10000,50,40,4.249196533113718,1.0,1.0
10000,50,41,4.293726156000048,1.0,1.0
10000,50,42,4.256824504118413,1.0,1.0
10000,50,43,4.251465184148401,1.0,1.0
10000,50,44,4.2815165752545,1.0,1.0
10000,50,45,4.2667036461643875,1.0,1.0
10000,50,46,4.272489969152957,1.0,1.0
10000,50,47,4.246447097044438,1.0,1.0
10000,50,48,4.256735616829246,1.0,1.0
10000,50,49,4.295029061846435,1.0,1.0
10000,50,50,4.293407598044723,1.0,1.0
10000,50,51,4.258088364265859,1.0,1.0
10000,50,52,4.245525773614645,1.0,1.0
10000,50,53,4.29689327487722,1.0,1.0
10000,50,54,4.255242140963674,1.0,1.0
10000,50,55,4.2673579109832644,1.0,1.0
10000,50,56,4.264278338756412,1.0,1.0
10000,50,57,4.278303593862802,1.0,1.0
10000,50,58,4.235468615312129,1.0,1.0
