"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.0069999999996071,0.721065778958861,0.866231596413547
1000,50,2,0.0180000000000291,0.740089787903008,0.875164507993462
1000,50,3,0.00400000000081491,1,1
1000,50,4,0.0190000000002328,0.727635984184065,0.869160907916713
1000,50,5,0.00799999999981083,0.718821863149719,0.865263506699057
1000,50,6,0.00399999999899592,0.775893112675727,0.898603570945409
1000,50,7,0.00700000000142609,0.750836955233923,0.880952990005215
1000,50,8,0.0190000000002328,0.725753981081756,0.868306719530537
1000,50,9,0.00599999999940337,0.722609158953546,0.866906705343236
1000,50,10,0.0149999999994179,0.719645014968408,0.865616821491846
1000,50,11,0.00799999999981083,0.754551400284452,0.883123534750376
1000,50,12,0.0270000000000437,0.722956901290946,0.867059884018098
1000,50,13,0.00400000000081491,1,1
1000,50,14,0.0130000000008295,1,1
1000,50,15,0.0480000000006839,0.730842624252933,0.870646183080352
1000,50,16,0.00400000000081491,1,1
1000,50,17,0.00299999999879219,0,0
1000,50,18,0.0229999999992287,0.745622616996875,0.878061967936396
1000,50,19,0.00400000000081491,1,1
1000,50,20,0.0200000000004366,0.749937976932414,0.880442264514556
1000,50,21,0.0129999999990105,0.718268313106704,0.865027074265802
1000,50,22,0.0230000000010477,0.781925343811395,0.905746099275519
1000,50,23,0.0280000000002474,1,1
1000,50,24,0.0159999999996217,1,1
1000,50,25,0.00900000000001455,0.721644013093501,0.866483629915252
1000,50,26,0.0160000000014406,1,1
1000,50,27,0.0100000000002183,0.720296456541198,0.865897919395016
1000,50,28,0.00400000000081491,1,1
1000,50,29,0.00700000000142609,1,1
1000,50,30,0.0240000000012515,0.733863534312048,0.872081970633947
1000,50,31,0.0279999999984284,0.724078012768119,0.867556455919476
1000,50,32,0.0069999999996071,0.726669300842133,0.868720585030338
1000,50,33,0.00900000000001455,0.387799467993241,0.680569009420888
1000,50,34,0.00500000000101863,1,1
1000,50,35,0.0140000000010332,0.719276329190997,0.865458316105973
1000,50,36,0.0289999999986321,0.554111264798585,0.744216307974271
1000,50,37,0.0140000000010332,0.718821863149719,0.865263506699057
1000,50,38,0.00400000000081491,0.781925343811395,0.905746099275519
1000,50,39,0.00500000000101863,1,1
1000,50,40,0.00900000000001455,0.723317634169506,0.867219206252902
1000,50,41,0.0230000000010477,1,1
1000,50,42,0.00400000000081491,1,1
1000,50,43,0.00799999999981083,0.720066198848886,0.86579841182245
1000,50,44,0.0429999999996653,0.724078012768119,0.867556455919476
1000,50,45,0.00300000000061118,0,0
1000,50,46,0.0069999999996071,0.721065778958861,0.866231596413547
1000,50,47,0.022000000000844,0.726669300842133,0.868720585030338
1000,50,48,0.0169999999998254,0.726669300842133,0.868720585030338
1000,50,49,0.0129999999990105,0.722956901290946,0.867059884018099
1000,50,50,0.00400000000081491,0.781925343811395,0.905746099275519
1000,50,51,0.0200000000004366,1,1
1000,50,52,0.00900000000001455,0.721348368229171,0.866354634403017
1000,50,53,0.0120000000006257,0.379782892613933,0.676938821813495
1000,50,54,0.0230000000010477,1,1
1000,50,55,0.0360000000000582,0.719645014968408,0.865616821491846
1000,50,56,0.0200000000004366,0.724890172040637,0.86791882484755
1000,50,57,0.00600000000122236,0.778273497827805,0.90097523932431
1000,50,58,0.022000000000844,1,1
1000,50,59,0.00399999999899592,1,1
1000,50,60,0.00400000000081491,1,1
1000,50,61,0.0120000000006257,0.725753981081756,0.868306719530537
1000,50,62,0.00400000000081491,1,1
1000,50,63,0.0200000000004366,1,1
1000,50,64,0.0540000000000873,0.407063534536133,0.685873536409634
1000,50,65,0.0149999999994179,0.733234146277229,0.871779784571298
1000,50,66,0.00900000000001455,0.719849048720646,0.865704720316865
1000,50,67,0.0209999999988213,0.720539812456974,0.866003268010175
1000,50,68,0.00900000000001455,0.718960201406046,0.865322739272591
1000,50,69,0.00500000000101863,0.774719306575996,0.897523798106019
1000,50,70,0.0100000000002183,1,1
1000,50,71,0.0180000000000291,0.720796256727883,0.866114484265131
1000,50,72,0.00599999999940337,0.733863534312048,0.872081970633947
1000,50,73,0.00700000000142609,0.781925343811395,0.905746099275519
1000,50,74,0.0120000000006257,1,1
1000,50,75,0.00999999999839929,1,1
1000,50,76,0.021999999999025,0.39638408059848,0.684682398649536
1000,50,77,0.0249999999996362,0.721644013093501,0.866483629915253
1000,50,78,0.00399999999899592,1,1
1000,50,79,0.0390000000006694,0.733863534312048,0.872081970633947
1000,50,80,0.0130000000008295,0.778273497827805,0.90097523932431
1000,50,81,0.0180000000000291,0.721065778958861,0.866231596413547
1000,50,82,0.00499999999919964,1,1
1000,50,83,0.00500000000101863,1,1
1000,50,84,0.0130000000008295,1,1
1000,50,85,0.0190000000002328,0.718584666023845,0.865162081194026
1000,50,86,0.00499999999919964,0.781925343811395,0.905746099275519
1000,50,87,0.00500000000101863,1,1
1000,50,88,0.00799999999981083,0.724078012768119,0.867556455919476
1000,50,89,0.00499999999919964,1,1
1000,50,90,0.010999999998603,0.362495602397257,0.670014495752619
1000,50,91,0.011000000000422,0.404885918556307,0.684594806803681
1000,50,92,0.0850000000009459,0.725315628840466,0.868109554589826
1000,50,93,0.0199999999986176,1,1
1000,50,94,0.0309999999990396,0.534864687553721,0.733149385465402
1000,50,95,0.00700000000142609,0.718821863149719,0.865263506699057
1000,50,96,0.0180000000000291,0.549507737048889,0.745282613004862
1000,50,97,0.00799999999981083,0.542348307762528,0.737995122720582
1000,50,98,0.00800000000162981,0.718189208785996,0.864993362929531
1000,50,99,0.00399999999899592,1,1
1000,50,100,0.00900000000001455,0.719454105874538,0.865534693520155
5000,50,1,0.215000000000146,0.720128607720343,0.865503453573289
5000,50,2,0.123000000001412,0.718918321712847,0.864983926643701
5000,50,3,0.0929999999989377,0.718914116707713,0.864982129399103
5000,50,4,0.206999999998516,0.720391320322903,0.865616821491846
5000,50,5,0.0989999999983411,0.719737950733164,0.865335269134661
5000,50,6,0.0400000000008731,1,1
5000,50,7,0.0889999999999418,0.721136030508101,0.865939356463212
5000,50,8,0.0429999999996653,1,1
5000,50,9,0.156999999999243,1,1
5000,50,10,0.0889999999999418,0.718973247924099,0.865007407360227
5000,50,11,0.0680000000011205,0.719254663280147,0.865127854941081
5000,50,12,0.139000000001033,0.533525170097283,0.73180688445859
5000,50,13,0.0360000000000582,1,1
5000,50,14,0.167000000001281,0.369573296046896,0.6722938282448
5000,50,15,0.0409999999992579,1,1
5000,50,16,0.0339999999996508,1,1
5000,50,17,0.0860000000011496,0.719446168377073,0.865209958333391
5000,50,18,0.058999999999287,1,1
5000,50,19,0.130999999999403,0.782472477263827,0.905746099275519
5000,50,20,0.0510000000012951,1,1
5000,50,21,0.0360000000000582,1,1
5000,50,22,0.0570000000006985,0.7189151679607,0.864982578705958
5000,50,23,0.0649999999986903,0.719494498413039,0.865230696437234
5000,50,24,0.113000000001193,1,1
5000,50,25,0.0789999999997235,0.719150620023633,0.865083295693843
5000,50,26,0.0900000000001455,0.71959745439944,0.865274898036773
5000,50,27,0.0460000000002765,1,1
5000,50,28,0.0470000000004802,1,1
5000,50,29,0.10399999999936,1,1
5000,50,30,0.0430000000014843,1,1
5000,50,31,0.0259999999998399,1,1
5000,50,32,0.0189999999984138,1,1
5000,50,33,0.0709999999999127,0.719355805784075,0.865171203499484
5000,50,34,0.140999999999622,0.719923847409755,0.865415242046513
5000,50,35,0.0310000000008586,0.782472477263827,0.905746099275519
5000,50,36,0.0529999999998836,1,1
5000,50,37,0.0269999999982247,0.782472477263827,0.905746099275519
5000,50,38,0.0309999999990396,1,1
5000,50,39,0.20299999999952,0.404705418942931,0.683907346004896
5000,50,40,0.101000000000568,0.723077619044785,0.866788558106196
5000,50,41,0.102999999999156,0.718916482025336,0.864983140343552
5000,50,42,0.0990000000001601,0.364348656903182,0.670293075788787
5000,50,43,0.0959999999995489,0.718990066813938,0.865014599192033
5000,50,44,0.227000000000771,0.405358923580401,0.684313884159959
5000,50,45,0.0399999999990541,1,1
5000,50,46,0.0730000000003201,0.720855945787897,0.865817847275468
5000,50,47,0.0270000000000437,1,1
5000,50,48,0.0990000000001601,0.720201051047061,0.865534693520156
5000,50,49,0.212999999999738,0.72226420622159,0.866431314706588
5000,50,50,0.0299999999988358,1,1
5000,50,51,0.0499999999992724,1,1
5000,50,52,0.0319999999992433,0.782472477263827,0.905746099275519
5000,50,53,0.092000000000553,0.719053135062719,0.86504157509986
5000,50,54,0.22400000000016,0.724500172935929,0.867418563270144
5000,50,55,0.0290000000004511,1,1
5000,50,56,0.0790000000015425,0.364398393539963,0.670312062447638
5000,50,57,0.0499999999992724,0.782472477263827,0.905746099275519
5000,50,58,0.0410000000010768,1,1
5000,50,59,0.220999999999549,0.40480143217059,0.683964651283008
5000,50,60,0.0779999999995198,0.720947218209521,0.865857416875477
5000,50,61,0.0799999999999272,0.722946764980737,0.8667309427582
5000,50,62,0.0399999999990541,1,1
5000,50,63,0.0509999999994761,1,1
5000,50,64,0.152000000000044,0.722817987373565,0.866674296322425
5000,50,65,0.0310000000008586,1,1
5000,50,66,0.0319999999992433,1,1
5000,50,67,0.0390000000006694,0.782472477263827,0.905746099275519
5000,50,68,0.0850000000009459,0.721538707573326,0.866114484265131
5000,50,69,0.211999999999534,0.718930936619259,0.864989318652383
5000,50,70,0.0820000000003347,0.719446168377073,0.865209958333391
5000,50,71,0.0959999999995489,0.719236009878191,0.865119863707378
5000,50,72,0.0579999999990832,0.782472477263827,0.905746099275519
5000,50,73,0.0750000000007276,0.718914116707713,0.864982129399103
5000,50,74,0.168999999999869,0.719200278419815,0.865104559088701
5000,50,75,0.0769999999993161,0.720679671347996,0.865741500523029
5000,50,76,0.0869999999995343,0.71910568881529,0.865064062915749
5000,50,77,0.0750000000007276,0.719200278419815,0.865104559088701
5000,50,78,0.0720000000001164,0.720993637965,0.865877551419453
5000,50,79,0.224999999998545,0.533619663312365,0.731861915121143
5000,50,80,0.0280000000002474,1,1
5000,50,81,0.0820000000003347,0.72009317151967,0.865488178240752
5000,50,82,0.103000000000975,0.720594670468658,0.865704720316865
5000,50,83,0.0560000000004948,0.72072295597802,0.865760238637082
5000,50,84,0.102000000000771,1,1
5000,50,85,0.0409999999992579,1,1
5000,50,86,0.069999999999709,0.718958531157101,0.86500111510929
5000,50,87,0.0860000000011496,0.405606070914908,0.684479005086802
5000,50,88,0.0529999999998836,0.718935404359411,0.864991228421015
5000,50,89,0.204999999999927,0.721283121348102,0.866003268010175
5000,50,90,0.0640000000003056,0.719652079683403,0.865298363248381
5000,50,91,0.0709999999999127,0.718999264521401,0.865018532535479
5000,50,92,0.0760000000009313,0.723551948083652,0.866997877665465
5000,50,93,0.092000000000553,0.725452954449482,0.867844322547376
5000,50,94,0.129000000000815,1,1
5000,50,95,0.0979999999999563,0.718940397691785,0.864993362929531
5000,50,96,0.0380000000004657,1,1
5000,50,97,0.0720000000001164,0.719091762347196,0.865058102945338
5000,50,98,0.0819999999985157,0.720352219744511,0.865599934900592
5000,50,99,0.225000000000364,0.718981394610155,0.865010890812118
5000,50,100,0.105000000001382,0.719422790487515,0.86519992959795
5000,100,1,0.0419999999994616,1,1
5000,100,2,0.11200000000099,0.723834394749932,0.867122873317464
5000,100,3,0.058999999999287,1,1
5000,100,4,0.168999999999869,0.720636909488514,0.865722994477807
5000,100,5,0.055000000000291,1,1
5000,100,6,0.15599999999904,0.719956664461984,0.865429371037401
5000,100,7,0.0630000000001019,1,1
5000,100,8,0.0470000000004802,0.78173660244149,0.904490168629898
5000,100,9,0.109999999998763,1,1
5000,100,10,0.0499999999992724,0.782472477263827,0.905746099275519
5000,100,11,0.0419999999994616,1,1
5000,100,12,0.0650000000005093,1,1
5000,100,13,0.0640000000003056,0.782472477263827,0.905746099275519
5000,100,14,0.184000000001106,0.718914379521066,0.864982241725548
5000,100,15,0.0650000000005093,0.781981465813163,0.904858520199049
5000,100,16,0.166999999999462,0.718999264521401,0.865018532535479
5000,100,17,0.136000000000422,0.721184538859244,0.865960425973497
5000,100,18,0.0489999999990687,0.782472477263827,0.905746099275519
5000,100,19,0.197000000000116,1,1
5000,100,20,0.055000000000291,1,1
5000,100,21,0.0540000000000873,1,1
5000,100,22,0.11200000000099,0.405378309638437,0.68433081533708
5000,100,23,0.0540000000000873,0.782472477263827,0.905746099275519
5000,100,24,0.188000000000102,1,1
5000,100,25,0.159999999999854,0.72023805805598,0.865550658442267
5000,100,26,0.114000000001397,0.405671483222017,0.684493913302716
5000,100,27,0.22899999999936,0.721698316574158,0.866184042168719
5000,100,28,0.0349999999998545,0,0
5000,100,29,0.206000000000131,0.729370192284031,0.869628219621031
5000,100,30,0.0580000000009022,1,1
5000,100,31,0.0899999999983265,0.722505133264485,0.866536903660568
5000,100,32,0.0529999999998836,1,1
5000,100,33,0.0460000000002765,1,1
5000,100,34,0.220999999999549,0.719273841757296,0.86513607222628
5000,100,35,0.092000000000553,0.72327779165083,0.866876803186811
5000,100,36,0.054999999998472,0.78173660244149,0.904490168629898
5000,100,37,0.152000000000044,0.723834394749932,0.867122873317464
5000,100,38,0.100000000000364,0.726658260679025,0.868387400012577
5000,100,39,0.335999999999331,0.720430944137775,0.865633938912334
5000,100,40,0.0529999999998836,1,1
5000,100,41,0.0400000000008731,1,1
5000,100,42,0.0560000000004948,1,1
5000,100,43,0.149999999999636,0.719120140599805,0.865070248324002
5000,100,44,0.30199999999968,0.539314723396164,0.735814736340168
5000,100,45,0.144999999998618,0.718990066813938,0.865014599192033
5000,100,46,0.0490000000008877,1,1
5000,100,47,0.148000000001048,0.721434908348113,0.866069291875667
5000,100,48,0.0480000000006839,1,1
5000,100,49,0.216000000000349,0.723011932508001,0.866759629166906
5000,100,50,0.0499999999992724,1,1
5000,100,51,0.173999999999069,0.72578704213952,0.867994348054652
5000,100,52,0.125,0.722146863597016,0.866379955858832
5000,100,53,0.239999999999782,0.40529228146968,0.68425138377133
5000,100,54,0.189000000000306,0.721538707573326,0.866114484265131
5000,100,55,0.106999999999971,0.721136030508101,0.865939356463212
5000,100,56,0.147999999999229,0.722628716130018,0.866591138164941
5000,100,57,0.117000000000189,0.404521370795171,0.683793348014854
5000,100,58,0.055000000000291,1,1
5000,100,59,0.11200000000099,1,1
5000,100,60,0.0500000000010914,1,1
5000,100,61,0.145000000000437,0.718930936619259,0.864989318652383
5000,100,62,0.212999999999738,0.719041310077338,0.865036516330419
5000,100,63,0.261000000000422,0.719990005453434,0.865443729010289
5000,100,64,0.162000000000262,0.724125124382886,0.867251811683473
5000,100,65,0.164999999999054,0.405981534496476,0.684674322183801
5000,100,66,0.0730000000003201,1,1
5000,100,67,0.0630000000001019,1,1
5000,100,68,0.155000000000655,0.720164567582188,0.865518958615527
5000,100,69,0.20299999999952,0.721233569165626,0.865981729750695
5000,100,70,0.055000000000291,1,1
5000,100,71,0.0540000000000873,1,1
5000,100,72,0.172999999998865,0.723482631486817,0.86696724225893
5000,100,73,0.17200000000048,0.719422790487515,0.86519992959795
5000,100,74,0.228000000000975,0.719150620023633,0.865083295693843
5000,100,75,0.0520000000014988,0.782472477263827,0.905746099275519
5000,100,76,0.0599999999994907,0.782472477263827,0.905746099275519
5000,100,77,0.111000000000786,0.720128607720343,0.865503453573289
5000,100,78,0.137000000000626,0.729163211777465,0.869532571063489
5000,100,79,0.293999999999869,0.724199100133108,0.867284664928624
5000,100,80,0.149000000001251,0.721233569165626,0.865981729750694
5000,100,81,0.066000000000713,1,1
5000,100,82,0.106000000001586,0.718926994478566,0.864987633605372
5000,100,83,0.0380000000004657,0.78173660244149,0.904490168629898
5000,100,84,0.19800000000032,0.720947218209521,0.865857416875477
5000,100,85,0.167999999999665,0.71954492719598,0.865252342725102
5000,100,86,0.0590000000011059,0.782472477263827,0.905746099275519
5000,100,87,0.139999999999418,0.719120140599805,0.865070248324002
5000,100,88,0.1200000000008,0.719990005453434,0.865443729010289
5000,100,89,0.171000000000276,0.722882116567898,0.866702498576784
5000,100,90,0.0509999999994761,1,1
5000,100,91,0.0540000000000873,1,1
5000,100,92,0.164999999999054,0.719273841757296,0.86513607222628
5000,100,93,0.0519999999996799,1,1
5000,100,94,0.14600000000064,1,1
5000,100,95,0.0409999999992579,0,0
5000,100,96,0.0500000000010914,1,1
5000,100,97,0.171000000000276,0.720201051047061,0.865534693520156
5000,100,98,0.156999999999243,0.718914379521066,0.864982241725548
5000,100,99,0.18999999999869,0.782472477263827,0.905746099275519
5000,100,100,0.200999999999112,0.722031602583433,0.866329551242426
5000,200,1,0.199000000000524,0.719078361218076,0.865052368355548
5000,200,2,0.373999999999796,0.373806517400054,0.673985615971124
5000,200,3,0.110999999998967,1,1
5000,200,4,0.307999999999083,0.718940397691785,0.864993362929531
5000,200,5,0.268999999998414,0.723906300918517,0.867154737419659
5000,200,6,0.380000000001019,0.729790257860632,0.869822829387407
5000,200,7,0.0830000000005384,1,1
5000,200,8,0.127000000000407,1,1
5000,200,9,0.179000000000087,0.7189151679607,0.864982578705958
5000,200,10,0.0850000000009459,1,1
5000,200,11,0.218000000000757,0.719652079683403,0.865298363248381
5000,200,12,0.101000000000568,1,1
5000,200,13,0.112999999999374,0.782472477263827,0.905746099275519
5000,200,14,0.272000000000844,0.433472798049626,0.708395595916101
5000,200,15,0.200999999999112,0.719166647613589,0.865090157780806
5000,200,16,0.190999999998894,0.782472477263827,0.905746099275519
5000,200,17,0.168999999999869,0.726838666792846,0.868469122948302
5000,200,18,0.110000000000582,1,1
5000,200,19,0.307999999999083,0.429268724837396,0.706448210588127
5000,200,20,0.092000000000553,1,1
5000,200,21,0.155000000000655,0.734059830550761,0.871839608923375
5000,200,22,0.207000000000335,0.725535704073314,0.867881446296164
5000,200,23,0.110000000000582,0.782472477263827,0.905746099275519
5000,200,24,0.163000000000466,0.724199100133108,0.867284664928624
5000,200,25,0.289000000000669,0.721644592332413,0.86616061997858
5000,200,26,0.0820000000003347,0.782472477263827,0.905746099275519
5000,200,27,0.0879999999997381,0.782472477263827,0.905746099275519
5000,200,28,0.197000000000116,0.72023805805598,0.865550658442267
5000,200,29,0.0910000000003492,0.782472477263827,0.905746099275519
5000,200,30,0.0969999999997526,1,1
5000,200,31,0.212999999999738,0.728355668945651,0.869160907916713
5000,200,32,0.201000000000931,0.723345553160147,0.866906705343236
5000,200,33,0.292999999999665,0.407206373559171,0.685357573224372
5000,200,34,0.211999999999534,0.719652079683403,0.865298363248381
5000,200,35,0.197000000000116,0.722444121520613,0.866510146833028
5000,200,36,0.10399999999936,1,1
5000,200,37,0.174000000000888,0.719828540414934,0.865374227593186
5000,200,38,0.216999999998734,0.135635468575878,0.419396905920604
5000,200,39,0.229000000001179,0.721233569165626,0.865981729750694
5000,200,40,0.0959999999995489,0.782472477263827,0.905746099275519
5000,200,41,0.0940000000009604,0.782472477263827,0.905746099275519
5000,200,42,0.100000000000364,1,1
5000,200,43,0.243999999998778,0.723210548723166,0.86684714480512
5000,200,44,0.212999999999738,0.72009317151967,0.865488178240752
5000,200,45,0.324999999998909,0.724967278133846,0.86762690768998
5000,200,46,0.0859999999993306,1,1
5000,200,47,0.0780000000013388,0.782472477263827,0.905746099275519
5000,200,48,0.118000000000393,1,1
5000,200,49,0.0850000000009459,1,1
5000,200,50,0.191999999999098,0.722505133264485,0.866536903660568
5000,200,51,0.226999999998952,0.72397872465795,0.867186848282109
5000,200,52,0.0859999999993306,1,1
5000,200,53,0.2450000000008,0.142407850608875,0.424426638245257
5000,200,54,0.0879999999997381,1,1
5000,200,55,0.0840000000007421,1,1
5000,200,56,0.0840000000007421,0.782472477263827,0.905746099275519
5000,200,57,0.0849999999991269,1,1
5000,200,58,0.115999999999985,1,1
5000,200,59,0.210999999999331,0.722031602583433,0.866329551242426
5000,200,60,0.228000000000975,0.719078361218076,0.865052368355548
5000,200,61,0.213999999999942,0.416235320833945,0.692178586771042
5000,200,62,0.0840000000007421,1,1
5000,200,63,0.235999999998967,0.722444121520613,0.866510146833028
5000,200,64,0.35399999999936,0.718926994478566,0.864987633605372
5000,200,65,0.0769999999993161,0.782472477263827,0.905746099275519
5000,200,66,0.291000000001077,0.719166647613589,0.865090157780806
5000,200,67,0.212000000001353,0.411344039905903,0.688066643215569
5000,200,68,0.192000000000917,0.723011932508001,0.866759629166906
5000,200,69,0.0859999999993306,1,1
5000,200,70,0.0879999999997381,1,1
5000,200,71,0.210999999999331,0.719273841757296,0.86513607222628
5000,200,72,0.0889999999999418,1,1
5000,200,73,0.179000000000087,0.719652079683403,0.865298363248381
5000,200,74,0.193999999999505,0.536843029967112,0.733874300424018
5000,200,75,0.0840000000007421,1,1
5000,200,76,0.0830000000005384,1,1
5000,200,77,0.167000000001281,0.718930936619259,0.864989318652383
5000,200,78,0.239999999999782,0.726479907190592,0.868306719530538
5000,200,79,0.179999999998472,0.730654769522744,0.870225439407614
5000,200,80,0.260000000000218,0.535046030523012,0.732670188438987
5000,200,81,0.0869999999995343,1,1
5000,200,82,0.0840000000007421,1,1
5000,200,83,0.268000000000029,0.71954492719598,0.865252342725102
5000,200,84,0.077000000001135,0.782472477263827,0.905746099275519
5000,200,85,0.27100000000064,0.719355805784075,0.865171203499484
5000,200,86,0.0769999999993161,1,1
5000,200,87,0.206000000000131,0.72397872465795,0.867186848282109
5000,200,88,0.208000000000538,0.727675864278377,0.868849880590089
5000,200,89,0.211999999999534,0.718914116707713,0.864982129399103
5000,200,90,0.244000000000597,0.728755361927004,0.869344562588394
5000,200,91,0.092000000000553,1,1
