"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.233000000000175,1,1
1000,50,2,0.155999999999949,1,1
1000,50,3,0.0999999999994543,1,1
1000,50,4,0.081000000000131,1,1
1000,50,5,0.354000000000269,1,1
1000,50,6,0.228000000000065,1,1
1000,50,7,0.100000000000364,1,1
1000,50,8,0.100999999999658,1,1
1000,50,9,0.0799999999999272,1,1
1000,50,10,0.226999999999862,1,1
1000,50,11,0.0839999999998327,1,1
1000,50,12,0.0969999999997526,1,1
1000,50,13,0.104999999999563,1,1
1000,50,14,0.229999999999563,1,1
1000,50,15,0.0850000000000364,1,1
1000,50,16,0.0960000000004584,1,1
1000,50,17,0.0839999999998327,1,1
1000,50,18,0.225999999999658,1,1
1000,50,19,0.0830000000005384,1,1
1000,50,20,0.100000000000364,1,1
1000,50,21,0.0979999999999563,1,1
1000,50,22,0.215000000000146,1,1
1000,50,23,0.0990000000001601,1,1
1000,50,24,0.103000000000065,1,1
1000,50,25,0.104000000000269,1,1
1000,50,26,0.227000000000771,1,1
1000,50,27,0.0850000000000364,1,1
1000,50,28,0.0969999999997526,1,1
1000,50,29,0.101999999999862,1,1
1000,50,30,0.22400000000016,1,1
1000,50,31,0.101999999999862,1,1
1000,50,32,0.101999999999862,1,1
1000,50,33,0.103000000000065,1,1
1000,50,34,0.22899999999936,1,1
1000,50,35,0.0820000000003347,1,1
1000,50,36,0.101000000000568,1,1
1000,50,37,0.101999999999862,1,1
1000,50,38,0.228000000000065,1,1
1000,50,39,0.101000000000568,1,1
1000,50,40,0.101000000000568,1,1
1000,50,41,0.101999999999862,1,1
1000,50,42,0.226999999999862,1,1
1000,50,43,0.0839999999998327,1,1
1000,50,44,0.0829999999996289,1,1
1000,50,45,0.0840000000007421,1,1
1000,50,46,0.23700000000008,1,1
1000,50,47,0.0959999999995489,1,1
1000,50,48,0.0870000000004438,1,1
1000,50,49,0.0969999999997526,1,1
1000,50,50,0.247000000000298,1,1
1000,50,51,0.101999999999862,1,1
1000,50,52,0.103000000000065,1,1
1000,50,53,0.103000000000065,1,1
1000,50,54,0.226999999999862,1,1
1000,50,55,0.0999999999994543,1,1
1000,50,56,0.100999999999658,1,1
1000,50,57,0.101000000000568,1,1
1000,50,58,0.227000000000771,1,1
1000,50,59,0.0959999999995489,1,1
1000,50,60,0.0969999999997526,1,1
1000,50,61,0.101999999999862,1,1
1000,50,62,0.213999999999942,1,1
1000,50,63,0.101999999999862,1,1
1000,50,64,0.101999999999862,1,1
1000,50,65,0.101999999999862,1,1
1000,50,66,0.231999999999971,1,1
1000,50,67,0.0850000000000364,1,1
1000,50,68,0.081000000000131,1,1
1000,50,69,0.0959999999995489,1,1
1000,50,70,0.215000000000146,1,1
1000,50,71,0.101999999999862,1,1
1000,50,72,0.105999999999767,1,1
1000,50,73,0.106000000000677,1,1
1000,50,74,0.237999999999374,1,1
1000,50,75,0.100000000000364,1,1
1000,50,76,0.104999999999563,1,1
1000,50,77,0.0979999999999563,1,1
1000,50,78,0.221000000000458,1,1
1000,50,79,0.103000000000065,1,1
1000,50,80,0.284999999999854,1,1
1000,50,81,0.0990000000001601,1,1
1000,50,82,0.22400000000016,1,1
1000,50,83,0.0989999999992506,1,1
1000,50,84,0.101000000000568,1,1
1000,50,85,0.100999999999658,1,1
1000,50,86,0.228000000000065,1,1
1000,50,87,0.105999999999767,1,1
1000,50,88,0.0819999999994252,1,1
1000,50,89,0.0940000000000509,1,1
1000,50,90,0.216000000000349,1,1
1000,50,91,0.0990000000001601,1,1
1000,50,92,0.101999999999862,1,1
1000,50,93,0.104000000000269,1,1
1000,50,94,0.224999999999454,1,1
1000,50,95,0.100000000000364,1,1
1000,50,96,0.100999999999658,1,1
1000,50,97,0.100000000000364,1,1
1000,50,98,0.225000000000364,1,1
1000,50,99,0.0999999999994543,1,1
1000,50,100,0.101000000000568,1,1
5000,50,1,2.01199999999972,1,1
5000,50,2,2.3700000000008,1,1
5000,50,3,2.05400000000009,1,1
5000,50,4,2.35400000000027,1,1
5000,50,5,2.11199999999917,1,1
5000,50,6,2.28600000000006,1,1
5000,50,7,2.15499999999975,1,1
5000,50,8,2.13000000000011,1,1
5000,50,9,2.15299999999934,1,1
5000,50,10,2.33100000000013,1,1
5000,50,11,2.13900000000012,1,1
5000,50,12,2.15499999999975,1,1
5000,50,13,2.16900000000078,1,1
5000,50,14,2.23999999999978,1,1
5000,50,15,2.17099999999937,1,1
5000,50,16,2.3159999999998,1,1
5000,50,17,2.11700000000019,1,1
5000,50,18,2.26199999999972,1,1
5000,50,19,2.15700000000015,1,1
5000,50,20,2.11999999999989,1,1
5000,50,21,2.13900000000012,1,1
5000,50,22,2.35599999999977,1,1
5000,50,23,2.14000000000033,1,1
5000,50,24,2.15200000000004,1,1
5000,50,25,2.15599999999995,1,1
5000,50,26,2.2470000000003,1,1
5000,50,27,2.13500000000022,1,1
5000,50,28,2.34300000000076,1,1
5000,50,29,2.10900000000038,1,1
5000,50,30,2.28299999999945,1,1
5000,50,31,2.15399999999954,1,1
5000,50,32,2.13199999999961,1,1
5000,50,33,2.17299999999977,1,1
5000,50,34,2.35199999999986,1,1
5000,50,35,2.13000000000011,1,1
5000,50,36,2.14099999999962,1,1
5000,50,37,2.19799999999941,1,1
5000,50,38,2.24200000000019,1,1
5000,50,39,2.14600000000064,1,1
5000,50,40,2.29000000000087,1,1
5000,50,41,2.11700000000019,1,1
5000,50,42,2.28300000000036,1,1
5000,50,43,2.16499999999996,1,1
5000,50,44,2.11499999999978,1,1
5000,50,45,2.1309999999994,1,1
5000,50,46,2.39000000000033,1,1
5000,50,47,2.13600000000042,1,1
5000,50,48,2.13200000000052,1,1
5000,50,49,2.15099999999984,1,1
5000,50,50,2.1929999999993,1,1
5000,50,51,2.18199999999979,1,1
5000,50,52,2.09400000000005,1,1
5000,50,53,2.16499999999996,1,1
5000,50,54,2.28800000000047,1,1
5000,50,55,2.38499999999931,1,1
5000,50,56,2.1299999999992,1,1
5000,50,57,2.15899999999965,1,1
5000,50,58,2.47699999999986,1,1
5000,50,59,2.17699999999968,1,1
5000,50,60,2.17500000000018,1,1
5000,50,61,2.32700000000023,1,1
5000,50,62,2.26300000000083,1,1
5000,50,63,2.15499999999975,1,1
5000,50,64,2.36000000000058,1,1
5000,50,65,2.15300000000025,1,1
5000,50,66,2.27499999999964,1,1
5000,50,67,2.34100000000035,1,1
5000,50,68,2.15899999999965,1,1
5000,50,69,2.17199999999957,1,1
5000,50,70,2.44700000000012,1,1
5000,50,71,2.14399999999932,1,1
5000,50,72,2.15500000000065,1,1
5000,50,73,2.3779999999997,1,1
5000,50,74,2.26600000000053,1,1
5000,50,75,2.15200000000004,1,1
5000,50,76,2.33799999999974,1,1
5000,50,77,2.16200000000026,1,1
5000,50,78,2.30100000000039,1,1
5000,50,79,2.34000000000015,1,1
5000,50,80,2.12100000000009,1,1
5000,50,81,2.17199999999957,1,1
5000,50,82,2.44800000000032,1,1
5000,50,83,2.31899999999951,1,1
5000,50,84,2.10900000000038,1,1
5000,50,85,2.1880000000001,1,1
5000,50,86,2.30799999999999,1,1
5000,50,87,2.33500000000004,1,1
5000,50,88,2.14199999999983,1,1
5000,50,89,2.16799999999967,1,1
5000,50,90,2.47400000000016,1,1
5000,50,91,2.14100000000053,1,1
5000,50,92,2.15700000000015,1,1
5000,50,93,2.36299999999937,1,1
5000,50,94,2.2480000000005,1,1
5000,50,95,2.17900000000009,1,1
5000,50,96,2.33600000000024,1,1
5000,50,97,2.16099999999915,1,1
5000,50,98,2.30799999999999,1,1
5000,50,99,2.41300000000047,1,1
5000,50,100,2.1220000000003,1,1
5000,100,1,3.59200000000055,1,1
5000,100,2,3.63199999999961,1,1
5000,100,3,3.4409999999998,1,1
5000,100,4,3.41399999999976,1,1
5000,100,5,3.69100000000071,1,1
5000,100,6,3.40599999999995,1,1
5000,100,7,3.35500000000047,1,1
5000,100,8,3.69399999999951,1,1
5000,100,9,3.40099999999984,1,1
5000,100,10,3.40999999999985,1,1
5000,100,11,3.7529999999997,1,1
5000,100,12,3.34099999999944,1,1
5000,100,13,3.60299999999916,1,1
5000,100,14,3.44700000000012,1,1
5000,100,15,3.38299999999981,1,1
5000,100,16,3.63100000000031,1,1
5000,100,17,3.39599999999973,1,1
5000,100,18,3.3769999999995,1,1
