"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.27800000000002,0.971118066698366,0.976555294198131
1000,50,2,0.0890000000001692,0.997511329814388,0.996532494463237
1000,50,3,0.108999999999924,0.997511329814388,0.996532494463237
1000,50,4,0.0950000000000273,0.974055230431502,0.978309026813181
1000,50,5,0.0940000000000509,0.998750311171267,0.998047913755925
1000,50,6,0.0920000000000982,0.996283107998827,0.995184191848062
1000,50,7,0.178000000000111,0.990305190782653,0.989672807204456
1000,50,8,0.11200000000008,0.975057878887486,0.978923571479935
1000,50,9,0.107999999999947,0.988990679200316,0.986784662010784
1000,50,10,0.0960000000000036,1,1
1000,50,11,0.108000000000175,0.971118066698366,0.976555294198131
1000,50,12,0.0929999999998472,1,1
1000,50,13,0.0960000000000036,0.966461292189563,0.973902111638311
1000,50,14,0.230000000000018,1,1
1000,50,15,0.1099999999999,0.995065697459748,0.993945369256091
1000,50,16,0.109000000000151,0.991478845730337,0.990661479445968
1000,50,17,0.0960000000000036,0.934813974196788,0.958722005208618
1000,50,18,0.105999999999995,0.998750311171267,0.998047913755925
1000,50,19,0.0960000000000036,0.993859149592856,0.992788551794793
1000,50,20,0.0940000000000509,0.979185266143617,0.981549103159618
1000,50,21,0.229000000000042,1,1
1000,50,22,0.0950000000000273,1,1
1000,50,23,0.105999999999995,1,1
1000,50,24,0.108999999999924,1,1
1000,50,25,0.0960000000000036,1,1
1000,50,26,0.110000000000127,0.948402444772186,0.964743468394631
1000,50,27,0.211000000000013,0.991478845730337,0.990661479445968
1000,50,28,0.0930000000000746,1,1
1000,50,29,0.105999999999995,1,1
1000,50,30,0.101000000000113,0.998750311171267,0.998047913755925
1000,50,31,0.0960000000000036,0.980246085990473,0.982251390441145
1000,50,32,0.110999999999876,0.935762225954155,0.959122933711484
1000,50,33,0.225999999999885,0.997511329814388,0.996532494463237
1000,50,34,0.0979999999999563,0.992663515449257,0.991697506861208
1000,50,35,0.0869999999999891,1,1
1000,50,36,0.106999999999971,0.955047327388372,0.967934899229726
1000,50,37,0.09699999999998,0.998750311171267,0.998047913755925
1000,50,38,0.0940000000000509,0.991478845730337,0.990661479445968
1000,50,39,0.231999999999971,0.998750311171267,0.998047913755925
1000,50,40,0.111999999999853,0.950261564143121,0.965618172122843
1000,50,41,0.106999999999971,0.936310382065312,0.959355918641822
1000,50,42,0.111000000000104,0.973064349951835,0.97770984675967
1000,50,43,0.0949999999997999,0.934793643116525,0.958713438090832
1000,50,44,0.0910000000001219,0.997511329814388,0.996532494463237
1000,50,45,0.108000000000175,0.941850299893413,0.959072197346859
1000,50,46,0.164999999999964,0.993859149592856,0.992788551794793
1000,50,47,0.105000000000018,0.997511329814388,0.996532494463237
1000,50,48,0.110999999999876,0.997511329814388,0.996532494463237
1000,50,49,0.108999999999924,0.998750311171267,0.998047913755925
1000,50,50,0.0930000000000746,0.975057878887486,0.978923571479935
1000,50,51,0.115999999999985,0.981318403449961,0.982973991115098
1000,50,52,0.0920000000000982,0.992663515449257,0.991697506861208
1000,50,53,0.235000000000127,0.972085281003381,0.977125447974302
1000,50,54,0.0970000000002074,0.971118066698366,0.976555294198131
1000,50,55,0.119999999999891,1,1
1000,50,56,0.125,0.978135990021864,0.980866075033318
1000,50,57,0.0909999999998945,0.997511329814388,0.996532494463237
1000,50,58,0.123000000000047,0.978135990021864,0.980866075033318
1000,50,59,0.0920000000000982,0.993859149592856,0.992788551794793
1000,50,60,0.230999999999995,0.969219372226651,0.975455780593761
1000,50,61,0.0979999999999563,0.998750311171267,0.998047913755925
1000,50,62,0.108999999999924,0.975057878887486,0.978923571479935
1000,50,63,0.0940000000000509,0.937229960510071,0.959748807660099
1000,50,64,0.0929999999998472,0.998750311171267,0.998047913755925
1000,50,65,0.106999999999971,0.997511329814388,0.996532494463237
1000,50,66,0.0930000000000746,0.992663515449257,0.991697506861208
1000,50,67,0.230999999999995,0.922251634068599,0.941438316119489
1000,50,68,0.105999999999995,0.996283107998827,0.995184191848062
1000,50,69,0.0930000000000746,1,1
1000,50,70,0.0979999999999563,0.998750311171267,0.998047913755925
1000,50,71,0.111999999999853,0.94780854259147,0.964466860145807
1000,50,72,0.105999999999995,0.948402444772186,0.964743468394631
1000,50,73,0.09699999999998,1,1
1000,50,74,0.230999999999995,0.981318403449961,0.982973991115098
1000,50,75,0.0960000000000036,1,1
1000,50,76,0.0929999999998472,0.998750311171267,0.998047913755925
1000,50,77,0.102000000000089,0.997511329814388,0.996532494463237
1000,50,78,0.0930000000000746,1,1
1000,50,79,0.110999999999876,0.983273207059447,0.982253521639785
1000,50,80,0.218000000000075,0.986850812603524,0.986939505839614
1000,50,81,0.0909999999998945,0.987991124782596,0.987815839293749
1000,50,82,0.09699999999998,0.934895293732329,0.958756283785235
1000,50,83,0.109000000000151,0.998750311171267,0.998047913755925
1000,50,84,0.09699999999998,0.935030809278742,0.958813450726554
1000,50,85,0.0960000000000036,0.966461292189563,0.973902111638311
1000,50,86,0.239000000000033,0.968287976029852,0.974925539103869
1000,50,87,0.113000000000056,0.941698909136,0.96169587111418
1000,50,88,0.0980000000001837,0.997511329814388,0.996532494463237
1000,50,89,0.106999999999971,0.98572171293222,0.986093823787235
1000,50,90,0.0950000000000273,0.983497344713987,0.984485033854498
1000,50,91,0.0990000000001601,1,1
1000,50,92,0.215000000000146,0.942585892003494,0.962090059118749
