"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.0040000000000191,0.719645014968408,0.865616821491846
1000,50,2,0.00300000000004275,0.733863534312048,0.872081970633947
1000,50,3,0.00199999999995271,1,1
1000,50,4,0.01400000000001,0.725753981081756,0.868306719530537
1000,50,5,0.00399999999996226,0.71816943169989,0.864984937613919
1000,50,6,0.00999999999999091,0.775893112675727,0.898603570945409
1000,50,7,0.0040000000000191,0.747312719263882,0.87898068301957
1000,50,8,0.00300000000004275,0.721952701583122,0.866618616409156
1000,50,9,0.00999999999999091,0.718696682992582,0.865209958333391
1000,50,10,0.021000000000015,0.719111692138552,0.865387670459324
1000,50,11,0.0129999999999768,0.747312719263882,0.87898068301957
1000,50,12,0.0029999999999859,0.721065778958861,0.866231596413547
1000,50,13,0.00200000000000955,1,1
1000,50,14,0.00200000000000955,1,1
1000,50,15,0.00600000000002865,0.725315628840466,0.868109554589826
1000,50,16,0.00200000000000955,1,1
1000,50,17,0.00199999999995271,0.780697285607189,0.90381171088242
1000,50,18,0.00900000000001455,0.740843510510008,0.875549906418747
1000,50,19,0.000999999999976353,1,1
1000,50,20,0.0269999999999868,0.748175824785317,0.879456441987555
1000,50,21,0.0120000000000005,0.718189208785996,0.864993362929531
1000,50,22,0.0029999999999859,0.781925343811395,0.905746099275519
1000,50,23,0.00200000000000955,1,1
1000,50,24,0.0120000000000005,1,1
1000,50,25,0.0029999999999859,0.720539812456974,0.866003268010175
1000,50,26,0.0010000000000332,1,1
1000,50,27,0.00600000000002865,0.719849048720646,0.865704720316865
1000,50,28,0.00200000000000955,1,1
1000,50,29,0.000999999999976353,1,1
1000,50,30,0.0029999999999859,0.727146231575876,0.868937407179594
1000,50,31,0.00900000000001455,0.721065778958861,0.866231596413547
1000,50,32,0.0050000000000523,0.724890172040637,0.86791882484755
1000,50,33,0.00599999999997181,0.380502727557478,0.67727631906186
1000,50,34,0.00200000000000955,1,1
1000,50,35,0.0029999999999859,0.718696682992582,0.865209958333391
1000,50,36,0.00799999999998136,0.550821474084646,0.742500773188523
1000,50,37,0.0040000000000191,0.719645014968408,0.865616821491846
1000,50,38,0.0110000000000241,0.781925343811395,0.905746099275519
1000,50,39,0.0029999999999859,1,1
1000,50,40,0.0129999999999768,0.721644013093501,0.866483629915252
1000,50,41,0.0100000000000477,1,1
1000,50,42,0.00200000000000955,1,1
1000,50,43,0.00399999999996226,0.718400139336373,0.865083295693843
1000,50,44,0.0040000000000191,0.722274421207099,0.866759629166906
1000,50,45,0.00300000000004275,0.613252336772605,0.790008896705297
1000,50,46,0.0250000000000341,0.720066198848886,0.86579841182245
1000,50,47,0.00600000000002865,0.724078012768119,0.867556455919476
1000,50,48,0.007000000000005,0.725315628840466,0.868109554589826
