setting,setting_type,rep,n,p,s,rho,language,method,model_class,ibs,cindex_td,runtime_sec,status,error_message
setting1_highdim_s50,highdim,1,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.2162801837089968,0.5,1.2572574615478516,success,
setting1_highdim_s50,highdim,1,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2153520599827731,0.5441551812149056,0.8284003734588623,success,
setting1_highdim_s50,highdim,1,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2468500435129134,0.5712098009188361,12.724950075149536,success,
setting1_highdim_s50,highdim,2,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.244800012276562,0.5160170848905499,1.0909717082977295,success,
setting1_highdim_s50,highdim,2,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2363612184070815,0.4554191137213027,0.813840389251709,success,
setting1_highdim_s50,highdim,2,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.315641854021221,0.5200213561131874,12.68660855293274,success,
setting1_highdim_s50,highdim,3,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1979249581352268,0.5475987496447855,1.0002825260162354,success,
setting1_highdim_s50,highdim,3,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1944918268657684,0.5930662119920432,0.8199620246887207,success,
setting1_highdim_s50,highdim,3,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2088309932147115,0.5703324808184144,12.720300436019896,success,
setting1_highdim_s50,highdim,4,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1947503401406451,0.6148028092922745,1.7438552379608154,success,
setting1_highdim_s50,highdim,4,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2058089955451562,0.571042679632631,0.825594425201416,success,
setting1_highdim_s50,highdim,4,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2359052207312361,0.515667206915181,12.659387111663818,success,
setting1_highdim_s50,highdim,5,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1756912378434104,0.6368452030606239,1.456833839416504,success,
setting1_highdim_s50,highdim,5,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1972444689893674,0.5203060623896409,0.8428773880004883,success,
setting1_highdim_s50,highdim,5,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.212133101029362,0.5300176574455562,12.809614181518556,success,
setting1_highdim_s50,highdim,6,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1906289207989076,0.6563961485557084,1.1892054080963137,success,
setting1_highdim_s50,highdim,6,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2110718791239244,0.5507565337001376,0.8157737255096436,success,
setting1_highdim_s50,highdim,6,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2337823986838952,0.560385144429161,12.707104444503784,success,
setting1_highdim_s50,highdim,7,500,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1665828950970982,0.6412146226415094,1.3544797897338867,success,
setting1_highdim_s50,highdim,7,500,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1875821486752582,0.5704599056603774,0.8040719032287598,success,
setting1_highdim_s50,highdim,7,500,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1845354991199795,0.6388561320754716,12.769334316253662,success,
