setting,setting_type,n,p,s,rho,model_class,language,ibs_mean,ibs_std,cindex_td_mean,cindex_td_std,runtime_sec_mean,runtime_sec_std
setting1_highdim_s50,highdim,500,500,50.0,0.3,Boosting,Python,0.23534854222426432,0.02631602383486325,0.5595985556792149,0.045688247023611676,12.685880331993102,0.07486671799781858
setting1_highdim_s50,highdim,500,500,50.0,0.3,Boosting,R,0.24131106536710928,0.03192057840157641,0.5598222275599352,0.04136008211076056,1.7399600000000026,0.055315407308579145
setting1_highdim_s50,highdim,500,500,50.0,0.3,DeepSurv,Python,0.22317828050724106,0.021069742327359777,0.5125288175465097,0.04493395774488671,0.20576689720153804,0.051715418817902044
setting1_highdim_s50,highdim,500,500,50.0,0.3,DeepSurv,R,0.2227971347694912,0.014033468383295075,0.5123865511975416,0.04065920164061707,0.44738000000000033,0.9677365742508947
setting1_highdim_s50,highdim,500,500,50.0,0.3,Penalized Cox,Python,0.1950137587979578,0.016739323488917646,0.6115131618744584,0.05256373706956364,1.3056509590148926,0.2013349790928188
setting1_highdim_s50,highdim,500,500,50.0,0.3,Penalized Cox,R,0.19505244280730893,0.01681713165468727,0.6115302504700088,0.05249278192978068,2.0834400000000013,0.31654571582013125
setting1_highdim_s50,highdim,500,500,50.0,0.3,RSF,Python,0.20570951853002215,0.01271915116026969,0.545855449188763,0.040047433594156925,0.8184256458282471,0.015983333740925275
setting1_highdim_s50,highdim,500,500,50.0,0.3,RSF,R,0.2062527591329624,0.0138994762874408,0.5426474840146881,0.04223488263086759,0.43047999999999864,0.09064828645228198
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,Boosting,Python,0.20018398601453036,0.01878898535548208,0.6574634178840902,0.03937043909220332,1.691132173538208,0.009532627302984849
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,Boosting,R,0.20961606839850744,0.02489972923904046,0.6589228483496749,0.039346191134628936,0.1788400000000058,0.028625919466560585
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,CoxPH,Python,0.22253409056046106,0.017485711589375973,0.579009764888816,0.034494880011761674,0.11511196613311762,0.010201402778485644
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,CoxPH,R,0.2226887693769122,0.017422080136869886,0.579009764888816,0.034494880011761674,0.01681999999999786,0.008503756672846823
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,DeepSurv,Python,0.20999614728671653,0.014606253250454731,0.5663548825066634,0.040062593464770334,0.3484413433074951,0.09671698100565078
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,DeepSurv,R,0.209814696786207,0.015755101333235943,0.5646972067688562,0.0398253739985426,0.32698000000000005,0.08509957912555705
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,RSF,Python,0.1925342568911987,0.01191186710449695,0.6414605324439794,0.03811137983803742,0.3381374931335449,0.00747660938803819
setting2_smooth_nonlinear,nonlinear,500,50,,0.3,RSF,R,0.19016073298803565,0.012532564523434073,0.6517559161356599,0.03589307787188914,0.14396000000000522,0.030691326967409997
