setting,setting_type,rep,n,p,s,rho,language,method,model_class,ibs,cindex_td,runtime_sec,status,error_message
setting1_highdim_s50_n1000,highdim,1,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1695263987507002,0.6885810940192761,1.0712661743164062,success,
setting1_highdim_s50_n1000,highdim,1,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2117548019658694,0.6176038807684943,4.396811723709106,success,
setting1_highdim_s50_n1000,highdim,1,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2201083074403077,0.6151145720303823,28.881755352020264,success,
setting1_highdim_s50_n1000,highdim,2,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1795046242602207,0.6658880210234324,0.7807223796844482,success,
setting1_highdim_s50_n1000,highdim,2,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1958265514941451,0.5889480984013432,4.288422346115112,success,
setting1_highdim_s50_n1000,highdim,2,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.216756366153897,0.5961019052485583,28.710038423538208,success,
setting1_highdim_s50_n1000,highdim,3,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1572811752614834,0.673105387803434,1.1177661418914795,success,
setting1_highdim_s50_n1000,highdim,3,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1789287969468019,0.6227797513321492,4.280925750732422,success,
setting1_highdim_s50_n1000,highdim,3,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1631695544558385,0.6625962107756068,28.69356203079224,success,
setting1_highdim_s50_n1000,highdim,4,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.2073511886335775,0.6329000138293459,1.2615289688110352,success,
setting1_highdim_s50_n1000,highdim,4,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2196882370930624,0.5535887152537685,4.549105644226074,success,
setting1_highdim_s50_n1000,highdim,4,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2521375576643975,0.5531738348776103,28.664334297180176,success,
setting1_highdim_s50_n1000,highdim,5,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1796221049920171,0.6346452249964734,1.1514475345611572,success,
setting1_highdim_s50_n1000,highdim,5,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1886369525563853,0.5835096628579489,4.307065486907959,success,
setting1_highdim_s50_n1000,highdim,5,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1928808208655399,0.5839328537170264,28.64350652694702,success,
setting1_highdim_s50_n1000,highdim,6,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1984422671938512,0.643462346641361,0.9618756771087646,success,
setting1_highdim_s50_n1000,highdim,6,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2176545989780133,0.5344675659187962,4.451746463775635,success,
setting1_highdim_s50_n1000,highdim,6,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2451222314914259,0.553650105063377,28.716578483581543,success,
