setting,setting_type,n,p,s,rho,model_class,language,ibs_mean,ibs_std,cindex_td_mean,cindex_td_std,runtime_sec_mean,runtime_sec_std
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,Boosting,Python,0.21353693848739563,0.019116483588319,0.5945503490673775,0.032215670293154516,28.80842966556549,0.20160606803029868
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,Boosting,R,0.2655450671425098,0.0500369088018913,0.5956211405587045,0.033583746739067305,3.314260000000006,0.08957172704438797
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,DeepSurv,Python,0.21870956316145027,0.01424487641561994,0.521403789416428,0.033726621954507534,0.23339328765869138,0.022754454040210904
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,DeepSurv,R,0.21724455888827005,0.012912550599223556,0.5274668549450595,0.03179391607660165,0.7025599999999996,1.0801075562467028
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,Penalized Cox,Python,0.17795503388743164,0.01290366839022891,0.6705530133946509,0.02297824142652426,1.159970850944519,0.21433671476442143
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,Penalized Cox,R,0.1779345094138208,0.01294714412117792,0.6705537344243109,0.022983998351859332,1.9183600000000038,0.37203860673048694
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,RSF,Python,0.20376620106443272,0.009694035614394681,0.569042810575749,0.031143969493448404,4.336784300804138,0.09783616175533526
setting1_highdim_s50_n1000,highdim,1000,500,50.0,0.3,RSF,R,0.20437045295905126,0.010324456290683463,0.5699760148923776,0.029327799454310063,1.1806400000000041,0.18261107997767512
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,Boosting,Python,0.19865513986696634,0.01166631325082667,0.6229780068030872,0.021360114832789084,46.345860047340395,0.36390545195086244
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,Boosting,R,0.31239738432539216,0.05933297878116308,0.6277962181232263,0.01985307127267663,5.087320000000002,0.08460121097218427
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,DeepSurv,Python,0.21116777889856994,0.009679786045840258,0.5463916077767955,0.022043942683626912,0.3715096998214722,0.03969332821108574
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,DeepSurv,R,0.2144497842777829,0.008492425990405499,0.5396410082987675,0.020519577603831794,0.5787600000000048,0.05708302581971201
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,Penalized Cox,Python,0.16537998643785637,0.008698932475831235,0.6962023771552619,0.017815168820581023,0.47679890632629396,0.04534817696884674
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,Penalized Cox,R,0.16551952311018162,0.008872110891534037,0.696204124643903,0.0178120919880576,0.7633799999999996,0.09932771773380186
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,RSF,Python,0.20022953375077676,0.007556345882312744,0.5925260941415408,0.022584537672469037,11.51359025478363,0.2738259134865763
setting1_highdim_s50_n1500,highdim,1500,500,50.0,0.3,RSF,R,0.2007597709414867,0.008117210571123577,0.5904635390575913,0.0240215084863525,1.9071799999999939,0.19675372464902022
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,Boosting,Python,0.17881534744031494,0.013367892616322555,0.6858093629298304,0.02686330128071875,4.176033606529236,0.028979573953398802
setting2_smooth_nonlinear_n1000,nonlinear,1000,50,,0.3,Boosting,R,0.20036040062589977,0.033527202548560925,0.6855936187080335,0.028048483851225343,0.32952000000000226,0.011784181718531477
