n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,0.06766915321350098,0.7190076606172333,0.8649821293991029
10000,50,2,0.03222203254699707,1.0,1.0
10000,50,3,0.07068157196044922,0.7190339305820665,0.8649933629295313
10000,50,4,0.03585171699523926,1.0,1.0
10000,50,5,0.030694961547851562,1.0,1.0
10000,50,6,0.03166913986206055,1.0,1.0
10000,50,7,0.07123470306396484,0.720729731955151,0.8657229944778067
10000,50,8,0.07364654541015625,0.7190187597638497,0.8649868753473564
10000,50,9,0.05564689636230469,0.7190187597638497,0.8649868753473564
10000,50,10,0.03094649314880371,1.0,1.0
10000,50,11,0.04435372352600098,1.0,1.0
10000,50,12,0.05825543403625488,0.7232024466543796,0.8668031136204305
10000,50,13,0.03038811683654785,1.0,1.0
10000,50,14,0.02834939956665039,1.0,1.0
10000,50,15,0.05061602592468262,0.719816515995005,0.8653289757035577
10000,50,16,0.03127884864807129,1.0,1.0
10000,50,17,0.08296418190002441,0.7190093025108019,0.8649828314423214
10000,50,18,0.028645992279052734,1.0,1.0
10000,50,19,0.032863616943359375,1.0,1.0
10000,50,20,0.030796051025390625,1.0,1.0
10000,50,21,0.06537508964538574,0.7191348006604573,0.8650365163304192
10000,50,22,0.030860424041748047,1.0,1.0
10000,50,23,0.042542457580566406,1.0,1.0
10000,50,24,0.03946185111999512,1.0,1.0
10000,50,25,0.030593395233154297,1.0,1.0
10000,50,26,0.02868819236755371,1.0,1.0
10000,50,27,0.02871561050415039,1.0,1.0
10000,50,28,0.041944265365600586,1.0,1.0
10000,50,29,0.029124736785888672,1.0,1.0
10000,50,30,0.0331883430480957,1.0,1.0
10000,50,31,0.04286813735961914,1.0,1.0
10000,50,32,0.0338129997253418,1.0,1.0
10000,50,33,0.03056168556213379,1.0,1.0
10000,50,34,0.02978825569152832,1.0,1.0
10000,50,35,0.0301055908203125,1.0,1.0
10000,50,36,0.04456043243408203,1.0,1.0
