n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,5.23166823387146,1.0,1.0
10000,50,2,5.329823970794678,1.0,1.0
10000,50,3,5.329300403594971,1.0,1.0
10000,50,4,5.312726736068726,1.0,1.0
10000,50,5,5.261960506439209,1.0,1.0
10000,50,6,5.2935850620269775,1.0,1.0
10000,50,7,5.304056167602539,1.0,1.0
10000,50,8,5.311096906661987,1.0,1.0
10000,50,9,5.284419298171997,1.0,1.0
10000,50,10,5.3646039962768555,1.0,1.0
10000,50,11,5.36565899848938,1.0,1.0
10000,50,12,5.291390895843506,1.0,1.0
10000,50,13,5.229575157165527,1.0,1.0
10000,50,14,5.297516345977783,1.0,1.0
10000,50,15,5.2660133838653564,1.0,1.0
10000,50,16,5.278594255447388,1.0,1.0
10000,50,17,5.257348299026489,1.0,1.0
10000,50,18,5.305677652359009,1.0,1.0
10000,50,19,5.312407732009888,1.0,1.0
10000,50,20,5.244845628738403,1.0,1.0
10000,50,21,5.343091726303101,1.0,1.0
10000,50,22,5.250520706176758,1.0,1.0
10000,50,23,5.452521324157715,1.0,1.0
10000,50,24,5.394351482391357,1.0,1.0
10000,50,25,5.378040313720703,1.0,1.0
10000,50,26,5.3323516845703125,1.0,1.0
10000,50,27,5.326422691345215,1.0,1.0
10000,50,28,5.303191184997559,1.0,1.0
10000,50,29,5.303711414337158,1.0,1.0
10000,50,30,5.382017612457275,1.0,1.0
10000,50,31,5.323992013931274,1.0,1.0
10000,50,32,5.296789169311523,1.0,1.0
10000,50,33,5.287019729614258,1.0,1.0
10000,50,34,5.301987648010254,1.0,1.0
10000,50,35,5.300097942352295,1.0,1.0
10000,50,36,5.271401643753052,1.0,1.0
10000,50,37,5.301576614379883,1.0,1.0
10000,50,38,5.3015947341918945,1.0,1.0
10000,50,39,5.208965301513672,1.0,1.0
10000,50,40,5.290450811386108,1.0,1.0
10000,50,41,5.24581503868103,1.0,1.0
10000,50,42,5.3006792068481445,1.0,1.0
10000,50,43,5.2130420207977295,1.0,1.0
10000,50,44,5.358353853225708,1.0,1.0
10000,50,45,5.3164448738098145,1.0,1.0
10000,50,46,5.265372037887573,1.0,1.0
10000,50,47,5.349757194519043,1.0,1.0
10000,50,48,5.343451738357544,1.0,1.0
10000,50,49,5.372982025146484,1.0,1.0
10000,50,50,5.258754730224609,1.0,1.0
10000,50,51,5.282622814178467,1.0,1.0
10000,50,52,5.286332845687866,1.0,1.0
10000,50,53,5.351026773452759,1.0,1.0
10000,50,54,5.348887205123901,1.0,1.0
10000,50,55,5.280009984970093,1.0,1.0
10000,50,56,5.302423715591431,1.0,1.0
10000,50,57,8.28653597831726,1.0,1.0
10000,50,58,5.413945913314819,1.0,1.0
10000,50,59,5.225700378417969,1.0,1.0
10000,50,60,5.343866348266602,1.0,1.0
10000,50,61,5.323005676269531,1.0,1.0
10000,50,62,5.577070951461792,1.0,1.0
10000,50,63,5.356781959533691,1.0,1.0
10000,50,64,5.304603815078735,1.0,1.0
10000,50,65,5.257537126541138,1.0,1.0
10000,50,66,5.231343746185303,1.0,1.0
10000,50,67,5.285881280899048,1.0,1.0
10000,50,68,5.274571657180786,1.0,1.0
10000,50,69,5.4181602001190186,1.0,1.0
10000,50,70,5.329861640930176,1.0,1.0
10000,50,71,5.240497827529907,1.0,1.0
10000,50,72,5.338152885437012,1.0,1.0
10000,50,73,5.31081223487854,1.0,1.0
10000,50,74,5.282485723495483,1.0,1.0
10000,50,75,5.280131101608276,1.0,1.0
10000,50,76,5.3454272747039795,1.0,1.0
10000,50,77,5.337794303894043,1.0,1.0
10000,50,78,5.314146280288696,1.0,1.0
10000,50,79,5.3629350662231445,1.0,1.0
10000,50,80,5.324713945388794,1.0,1.0
10000,50,81,5.434439182281494,1.0,1.0
10000,50,82,5.272937774658203,1.0,1.0
10000,50,83,5.31547474861145,1.0,1.0
10000,50,84,5.275660037994385,1.0,1.0
10000,50,85,5.253579139709473,1.0,1.0
10000,50,86,5.255281209945679,1.0,1.0
10000,50,87,5.266114234924316,1.0,1.0
10000,50,88,5.287548780441284,1.0,1.0
10000,50,89,5.300719738006592,1.0,1.0
10000,50,90,5.22374701499939,1.0,1.0
10000,50,91,5.301024436950684,1.0,1.0
10000,50,92,5.362163782119751,1.0,1.0
10000,50,93,5.268308877944946,1.0,1.0
10000,50,94,5.270320415496826,1.0,1.0
10000,50,95,5.322320938110352,1.0,1.0
10000,50,96,5.253361463546753,1.0,1.0
10000,50,97,5.30912709236145,1.0,1.0
10000,50,98,5.283246994018555,1.0,1.0
10000,50,99,5.3320512771606445,1.0,1.0
10000,50,100,5.38207483291626,1.0,1.0
1000,50,1,0.02620244026184082,1.0,1.0
1000,50,2,0.027159452438354492,1.0,1.0
1000,50,3,0.026719093322753906,1.0,1.0
1000,50,4,0.026983261108398438,1.0,1.0
1000,50,5,0.025582075119018555,1.0,1.0
1000,50,6,0.025829076766967773,1.0,1.0
1000,50,7,0.02570629119873047,1.0,1.0
1000,50,8,0.024963855743408203,1.0,1.0
1000,50,9,0.02614593505859375,1.0,1.0
1000,50,10,0.02552318572998047,1.0,1.0
1000,50,11,0.02729177474975586,1.0,1.0
1000,50,12,0.03330421447753906,1.0,1.0
1000,50,13,0.033946990966796875,1.0,1.0
1000,50,14,0.027698993682861328,1.0,1.0
1000,50,15,0.027708768844604492,1.0,1.0
1000,50,16,0.02841639518737793,1.0,1.0
1000,50,17,0.027440547943115234,1.0,1.0
1000,50,18,0.02819967269897461,1.0,1.0
1000,50,19,0.02718663215637207,1.0,1.0
1000,50,20,0.02789473533630371,1.0,1.0
1000,50,21,0.025944948196411133,1.0,1.0
1000,50,22,0.02677178382873535,1.0,1.0
1000,50,23,0.02651524543762207,1.0,1.0
1000,50,24,0.02928471565246582,1.0,1.0
1000,50,25,0.03554201126098633,1.0,1.0
1000,50,26,0.03672385215759277,1.0,1.0
1000,50,27,0.029676437377929688,1.0,1.0
1000,50,28,0.027608633041381836,1.0,1.0
1000,50,29,0.028337717056274414,1.0,1.0
1000,50,30,0.026677370071411133,1.0,1.0
1000,50,31,0.02607893943786621,1.0,1.0
1000,50,32,0.024958372116088867,1.0,1.0
1000,50,33,0.027090072631835938,1.0,1.0
1000,50,34,0.027380943298339844,1.0,1.0
1000,50,35,0.026275634765625,1.0,1.0
1000,50,36,0.02559494972229004,1.0,1.0
1000,50,37,0.02543163299560547,1.0,1.0
1000,50,38,0.02549290657043457,1.0,1.0
1000,50,39,0.031606197357177734,1.0,1.0
1000,50,40,0.033455610275268555,1.0,1.0
1000,50,41,0.026141643524169922,1.0,1.0
1000,50,42,0.03336620330810547,1.0,1.0
1000,50,43,0.030630111694335938,1.0,1.0
1000,50,44,0.0259246826171875,1.0,1.0
