n_samples,n_features,Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
10000,50,1,0.024300813674926758,0.7190927727312096,0.8650185325354787
10000,50,2,0.059462785720825195,0.7190791789345257,0.8650127168839038
10000,50,3,0.01790785789489746,0.719008251699237,0.8649823821338563
10000,50,4,0.006468296051025391,1.0,1.0
10000,50,5,0.007068634033203125,1.0,1.0
10000,50,6,0.006819248199462891,1.0,1.0
10000,50,7,0.022574663162231445,0.7192362512322487,0.8650799492628828
10000,50,8,0.012531518936157227,1.0,1.0
10000,50,9,0.02357649803161621,0.7191235058327501,0.8650316827345123
10000,50,10,0.007911443710327148,1.0,1.0
10000,50,11,0.007706165313720703,1.0,1.0
10000,50,12,0.012321949005126953,1.0,1.0
10000,50,13,0.009628772735595703,0.7824177479965777,0.9054813560903947
10000,50,14,0.02559208869934082,0.7191921264574563,0.8650610547544405
10000,50,15,0.007829427719116211,1.0,1.0
10000,50,16,0.02279973030090332,0.7190424024945682,0.8649969861248333
10000,50,17,0.030753374099731445,0.5332789051341692,0.7315885283830864
10000,50,18,0.00771784782409668,1.0,1.0
10000,50,19,0.006751537322998047,1.0,1.0
10000,50,20,0.007668972015380859,1.0,1.0
10000,50,21,0.014284849166870117,0.7194820526562588,0.865185311616597
10000,50,22,0.0073087215423583984,1.0,1.0
10000,50,23,0.02842545509338379,0.7192135981378663,0.8650702483240025
10000,50,24,0.0316929817199707,1.0,1.0
10000,50,25,0.04852652549743652,0.7190707730135834,0.8650091209723044
10000,50,26,0.015603065490722656,0.7198608093288709,0.865348027058772
10000,50,27,0.009655952453613281,1.0,1.0
10000,50,28,0.02171778678894043,0.7191024918511187,0.8650226908801243
10000,50,29,0.017415761947631836,0.7192851013286745,0.8651008740985908
10000,50,30,0.02465343475341797,0.5333882462667758,0.7316549994956075
10000,50,31,0.008637189865112305,1.0,1.0
10000,50,32,0.026088953018188477,0.40474298471635556,0.6838520705052328
10000,50,33,0.007821798324584961,1.0,1.0
10000,50,34,0.012018918991088867,1.0,1.0
10000,50,35,0.05157661437988281,0.7190076606172333,0.8649821293991029
10000,50,36,0.007500410079956055,1.0,1.0
10000,50,37,0.00723576545715332,1.0,1.0
10000,50,38,0.007604837417602539,1.0,1.0
10000,50,39,0.03065323829650879,0.719008251699237,0.8649823821338563
10000,50,40,0.0298769474029541,0.7194932776815663,0.8651901276099897
