n_samples,n_features,Replicate,GPU_Runtime_sec,GPU_ARI,GPU_NMI
10000,50,1,0.007409095764160156,0.7190454891420408,0.8649983062500259
10000,50,2,0.006470680236816406,0.4048167947600291,0.6838964618419371
10000,50,3,0.004457712173461914,0.7190366232134116,0.8649945144675414
10000,50,4,0.0019528865814208984,1.0,1.0
10000,50,5,0.005597591400146484,0.7191466206886659,0.8650415750998599
10000,50,6,0.001813650131225586,1.0,1.0
10000,50,7,0.0017712116241455078,1.0,1.0
10000,50,8,0.00706028938293457,0.7190205329885692,0.8649876336053725
10000,50,9,0.009084939956665039,0.7190205329885692,0.8649876336053725
10000,50,10,0.0019752979278564453,1.0,1.0
10000,50,11,0.001825571060180664,1.0,1.0
10000,50,12,0.005604267120361328,0.7190835788798315,0.8650145991920328
10000,50,13,0.007787466049194336,0.719008251699237,0.8649823821338563
10000,50,14,0.006273031234741211,0.7190707730135834,0.8650091209723044
10000,50,15,0.008854866027832031,0.7190079233203903,0.864982241725548
10000,50,16,0.001825571060180664,1.0,1.0
10000,50,17,0.00185394287109375,1.0,1.0
10000,50,18,0.008530378341674805,0.7191075483818893,0.8650248544402604
10000,50,19,0.001802206039428711,1.0,1.0
10000,50,20,0.005220174789428711,0.7191921264574563,0.8650610547544406
10000,50,21,0.006392717361450195,0.7190224375596704,0.8649884480397323
10000,50,22,0.0018138885498046875,1.0,1.0
10000,50,23,0.007149934768676758,0.7190555370968861,0.8650026038500807
10000,50,24,0.005295753479003906,0.7191718362692084,0.8650523683555481
10000,50,25,0.0021889209747314453,1.0,1.0
10000,50,26,0.007689476013183594,0.40469541165041445,0.6838230565965889
10000,50,27,0.0055086612701416016,0.7191075483818893,0.8650248544402604
10000,50,28,0.007624626159667969,0.7190079233203903,0.8649822417255479
10000,50,29,0.0019505023956298828,1.0,1.0
10000,50,30,0.001924753189086914,1.0,1.0
10000,50,31,0.004801511764526367,0.7190244734763829,0.8649893186523828
10000,50,32,0.0017917156219482422,1.0,1.0
10000,50,33,0.008270740509033203,0.7190881101460042,0.865016537741011
10000,50,34,0.0018019676208496094,1.0,1.0
10000,50,35,0.002238035202026367,1.0,1.0
10000,50,36,0.004643917083740234,0.7190454891420408,0.8649983062500258
10000,50,37,0.005198001861572266,0.7193869301403987,0.8651445156421842
10000,50,38,0.0018389225006103516,0.7825406146016833,0.9057460992755193
10000,50,39,0.007416963577270508,0.7191852317807295,0.8650581029453379
10000,50,40,0.009142875671386719,0.719048707125795,0.8649996825770808
10000,50,41,0.001928567886352539,1.0,1.0
