"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.141999999999825,0.978135990021864,0.980866075033318
1000,50,2,0.0940000000000509,0.958844854576914,0.969845796276713
1000,50,3,0.0869999999999891,0.978135990021864,0.980866075033318
1000,50,4,0.205999999999676,0.97537459745339,0.975297712211882
1000,50,5,0.0799999999999272,0.958060318627492,0.969445404587783
1000,50,6,0.0770000000002256,0.955781733524924,0.968299208195351
1000,50,7,0.0809999999996762,0.948442468316835,0.957158457518279
1000,50,8,0.081000000000131,0.96004991728513,0.966323561462243
1000,50,9,0.175999999999931,0.958060318627492,0.969445404587783
1000,50,10,0.0659999999998035,0.959891973426501,0.965875030482475
1000,50,11,0.0859999999997854,0.962940369441407,0.966355666523716
1000,50,12,0.0799999999999272,0.956865646345086,0.963317152453643
1000,50,13,0.0840000000002874,0.968287976029852,0.974925539103869
1000,50,14,0.0799999999999272,1,1
1000,50,15,0.150000000000091,0.957862422383917,0.964132980961866
1000,50,16,0.0830000000000837,0.977819145230837,0.978435071831221
1000,50,17,0.0649999999995998,0.976453133371089,0.976080839964442
1000,50,18,0.081000000000131,0.975057878887486,0.978923571479935
1000,50,19,0.0630000000001019,0.997496234326402,0.996086631901329
1000,50,20,0.0750000000002728,0.986850812603524,0.986939505839614
1000,50,21,0.242000000000189,0.987991124782596,0.987815839293749
1000,50,22,0.103999999999814,0.977098303323306,0.980201362781772
1000,50,23,0.0599999999999454,0.959891973426501,0.965875030482475
1000,50,24,0.0760000000000218,0.978135990021864,0.980866075033318
1000,50,25,0.0630000000001019,0.958060318627492,0.969445404587783
1000,50,26,0.0820000000003347,0.986850812603524,0.986939505839614
1000,50,27,0.204000000000178,0.959299422815019,0.964322173767656
1000,50,28,0.0729999999998654,0.974055230431502,0.978309026813181
1000,50,29,0.0760000000000218,0.9712674404806,0.97274814081788
1000,50,30,0.0599999999999454,1,1
1000,50,31,0.0830000000000837,0.984603874265211,0.985276354620368
1000,50,32,0.0620000000003529,1,1
1000,50,33,0.208000000000084,0.997496234326402,0.996086631901329
1000,50,34,0.0820000000003347,1,1
1000,50,35,0.0720000000001164,0.964054507716614,0.967384247262046
1000,50,36,0.0760000000000218,0.972085281003381,0.977125447974302
1000,50,37,0.0639999999998508,0.978135990021864,0.980866075033318
1000,50,38,0.201999999999771,0.96146695342109,0.968706727940701
1000,50,39,0.0830000000000837,0.740134899048914,0.86907059999583
1000,50,40,0.0770000000002256,0.966461292189563,0.973902111638311
1000,50,41,0.0670000000000073,1,1
1000,50,42,0.0979999999999563,0.984603874265211,0.985276354620368
1000,50,43,0.25,0.94722758854661,0.964197573909114
1000,50,44,0.0850000000000364,0.977556074290763,0.976953260477893
1000,50,45,0.0850000000000364,0.960957526012427,0.964962415905899
1000,50,46,0.0799999999999272,0.957961973606138,0.961374561374405
1000,50,47,0.0630000000001019,1,1
1000,50,48,0.197999999999865,0.95361639932187,0.967231977194513
1000,50,49,0.0830000000000837,1,1
1000,50,50,0.0799999999999272,0.987991124782596,0.987815839293749
1000,50,51,0.0650000000000546,0.95769087512482,0.96546180125399
1000,50,52,0.0799999999999272,0.95575029186411,0.965722823962786
1000,50,53,0.207999999999629,0.951704759663386,0.958969102293133
1000,50,54,0.0850000000000364,0.970123734244612,0.971611723539552
1000,50,55,0.0850000000000364,0.979185266143617,0.981549103159618
1000,50,56,0.0809999999996762,0.976072251326855,0.979554117543206
1000,50,57,0.081000000000131,0.983497344713987,0.984485033854498
1000,50,58,0.215000000000146,0.958007550789484,0.964502241077367
1000,50,59,0.0779999999999745,0.957288263278807,0.969054294363843
1000,50,60,0.0860000000002401,0.966461292189563,0.973902111638311
1000,50,61,0.0869999999999891,0.978135990021864,0.980866075033318
1000,50,62,0.0830000000000837,1,1
1000,50,63,0.244999999999891,0.976072251326855,0.979554117543206
1000,50,64,0.0979999999999563,0.9496289837102,0.965319025397145
1000,50,65,0.0960000000000036,0.977098303323306,0.980201362781772
1000,50,66,0.0970000000002074,0.950906980069539,0.965925037259479
1000,50,67,0.0990000000001601,0.997496234326402,0.996086631901329
1000,50,68,0.221000000000004,0.984603874265211,0.985276354620368
1000,50,69,0.0919999999996435,0.955047327388372,0.967934899229726
1000,50,70,0.0749999999998181,0.9496289837102,0.965319025397145
1000,50,71,0.0969999999997526,0.970162749701746,0.975998890880274
1000,50,72,0.0879999999997381,1,1
1000,50,73,0.237999999999829,0.979185266143617,0.981549103159618
1000,50,74,0.0899999999996908,0.984603874265211,0.985276354620368
1000,50,75,0.0639999999998508,1,1
1000,50,76,0.093000000000302,0.957288263278807,0.969054294363843
1000,50,77,0.0779999999999745,0.963812143200184,0.972454446878382
1000,50,78,0.233000000000175,0.997496234326402,0.996086631901329
1000,50,79,0.0829999999996289,0.962953485448862,0.971993991823368
1000,50,80,0.0799999999999272,1,1
1000,50,81,0.0729999999998654,0.972085281003381,0.977125447974302
1000,50,82,0.0790000000001783,1,1
1000,50,83,0.204000000000178,0.976478949654216,0.976200050076605
1000,50,84,0.0790000000001783,0.952919942488299,0.966893077183919
1000,50,85,0.0750000000002728,0.976072251326855,0.979554117543206
1000,50,86,0.0789999999997235,0.986850812603524,0.986939505839614
1000,50,87,0.0790000000001783,0.974055230431502,0.978309026813181
1000,50,88,0.208999999999833,0.952919942488299,0.966893077183919
1000,50,89,0.0720000000001164,0.978135990021864,0.980866075033318
1000,50,90,0.0739999999996144,0.958099892361619,0.963086752214667
1000,50,91,0.0790000000001783,0.987991124782596,0.987815839293749
1000,50,92,0.0889999999999418,0.98572171293222,0.986093823787235
1000,50,93,0.214999999999691,0.981318403449961,0.982973991115098
1000,50,94,0.06899999999996,0.986850812603524,0.986939505839614
1000,50,95,0.0799999999999272,0.951565201932867,0.966239731585795
1000,50,96,0.0770000000002256,0.941698909136,0.96169587111418
1000,50,97,0.0639999999998508,0.987991124782596,0.987815839293749
1000,50,98,0.21100000000024,0.976453133371089,0.976080839964442
1000,50,99,0.068000000000211,0.997496234326402,0.996086631901329
1000,50,100,0.0790000000001783,0.981318403449961,0.982973991115098
5000,50,1,1.35300000000007,0.937815164318949,0.959908774559239
5000,50,2,1.62800000000016,0.936568272357064,0.959373322042617
5000,50,3,1.73599999999988,0.939086336588052,0.960459621519828
5000,50,4,1.52800000000025,0.937652803841626,0.959838781274092
5000,50,5,1.4409999999998,0.940212550557617,0.960951939227201
5000,50,6,1.38799999999992,0.937146409429972,0.959620998412996
5000,50,7,1.60800000000017,0.940212550557617,0.960951939227201
5000,50,8,1.60300000000007,0.93759975408818,0.959815929318736
5000,50,9,1.51299999999992,0.939086336588052,0.960459621519828
