"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.766999999999996,0.743178225824401,0.827729376770643
1000,50,2,0.721999999999994,0.719849048720646,0.827729376770643
1000,50,3,0.872,0.737198263544356,0.827729376770643
1000,50,4,0.777999999999992,1,1
1000,50,5,0.715000000000003,0.725753981081756,0.827729376770643
1000,50,6,0.710000000000008,0.780697285607189,0.827729376770643
1000,50,7,0.753,0.739348372955464,0.827729376770643
1000,50,8,0.731999999999999,0.737902582282044,0.827729376770643
1000,50,9,0.85799999999999,0.718584666023845,0.827729376770643
1000,50,10,0.708999999999989,1,1
1000,50,11,0.704999999999998,0.737902582282044,0.827729376770643
1000,50,12,0.715999999999994,0.718960201406046,0.827729376770643
1000,50,13,0.710999999999984,0.731421552138513,0.827729376770643
1000,50,14,0.84699999999998,0.741609511153129,0.827729376770643
1000,50,15,0.77000000000001,0.719276329190997,0.827729376770643
1000,50,16,0.730999999999995,0.733863534312048,0.827729376770643
1000,50,17,0.72399999999999,0.77947998864537,0.827729376770643
1000,50,18,0.962999999999994,0.719849048720646,0.827729376770643
1000,50,19,0.724999999999994,0.743980878384633,0.827729376770643
1000,50,20,0.72999999999999,0.718960201406046,0.827729376770643
1000,50,21,0.703000000000003,1,1
1000,50,22,0.701999999999998,0.724078012768119,0.827729376770643
1000,50,23,0.800999999999988,1,1
1000,50,24,0.688999999999993,0.718584666023845,0.827729376770643
1000,50,25,0.673000000000002,0.721065778958861,0.827729376770643
1000,50,26,0.713000000000022,0.780697285607189,0.827729376770643
1000,50,27,0.710999999999984,1,1
1000,50,28,0.693000000000012,0.718960201406046,0.827729376770643
1000,50,29,0.894999999999982,0.724477627810214,0.827729376770643
1000,50,30,0.734000000000009,1,1
1000,50,31,0.715000000000003,0.77947998864537,0.827729376770643
1000,50,32,0.687999999999988,1,1
1000,50,33,0.826999999999998,0.722956901290946,0.827729376770643
1000,50,34,0.763000000000005,0.718960201406046,0.827729376770643
1000,50,35,0.711000000000013,1,1
1000,50,36,0.73599999999999,0.733863534312048,0.827729376770643
1000,50,37,0.808999999999997,1,1
1000,50,38,0.694000000000017,0.771263956820599,0.827729376770643
1000,50,39,0.713999999999999,0.719454105874538,0.827729376770643
1000,50,40,0.719999999999999,1,1
1000,50,41,0.828999999999979,0.781645043111182,0.828160831944738
1000,50,42,0.733000000000004,0.765727827510176,0.827729376770643
1000,50,43,0.780000000000001,1,1
1000,50,44,0.688999999999993,0.765727827510176,0.827729376770643
1000,50,45,0.688999999999993,0.732013130898977,0.827729376770643
1000,50,46,0.843999999999994,0.771263956820599,0.827729376770643
1000,50,47,0.747000000000014,0.775893112675727,0.827729376770643
1000,50,48,0.72399999999999,0.749050921992866,0.827729376770643
1000,50,49,0.748000000000019,0.718327637122678,0.827729376770643
1000,50,50,0.90300000000002,0.725753981081756,0.827729376770643
1000,50,51,0.721000000000004,0.722274421207099,0.827729376770643
1000,50,52,0.72799999999998,0.765727827510176,0.827729376770643
1000,50,53,0.707999999999998,1,1
1000,50,54,0.894999999999982,0.756479239341845,0.827729376770643
1000,50,55,0.686000000000007,0.721644013093501,0.827729376770643
