"n_samples","n_features","Replicate","R_Runtime_sec","R_ARI","R_NMI"
1000,50,1,0.0929999999998472,1,1
1000,50,2,0.0650000000005093,1,1
1000,50,3,0.0630000000001019,1,1
1000,50,4,0.069999999999709,1,1
1000,50,5,0.164999999999964,1,1
1000,50,6,0.0670000000000073,1,1
1000,50,7,0.068000000000211,1,1
1000,50,8,0.068000000000211,1,1
1000,50,9,0.0670000000000073,1,1
1000,50,10,0.0840000000007421,1,1
1000,50,11,0.0659999999998035,1,1
1000,50,12,0.153000000000247,1,1
1000,50,13,0.068000000000211,1,1
1000,50,14,0.0659999999998035,1,1
1000,50,15,0.0659999999998035,1,1
1000,50,16,0.0659999999998035,1,1
1000,50,17,0.0910000000003492,1,1
1000,50,18,0.0659999999998035,1,1
1000,50,19,0.0670000000000073,1,1
1000,50,20,0.068000000000211,1,1
1000,50,21,0.0659999999998035,1,1
1000,50,22,0.0630000000001019,1,1
1000,50,23,0.0640000000003056,1,1
1000,50,24,0.201999999999316,1,1
1000,50,25,0.0649999999995998,1,1
1000,50,26,0.0649999999995998,1,1
1000,50,27,0.0649999999995998,1,1
1000,50,28,0.0659999999998035,1,1
1000,50,29,0.0650000000005093,1,1
1000,50,30,0.0689999999995052,1,1
1000,50,31,0.0659999999998035,1,1
1000,50,32,0.0670000000000073,1,1
1000,50,33,0.0679999999993015,1,1
1000,50,34,0.0659999999998035,1,1
1000,50,35,0.068000000000211,1,1
1000,50,36,0.214999999999236,1,1
1000,50,37,0.0690000000004147,1,1
1000,50,38,0.068000000000211,1,1
1000,50,39,0.069999999999709,1,1
1000,50,40,0.069999999999709,1,1
1000,50,41,0.0670000000000073,1,1
1000,50,42,0.081000000000131,1,1
1000,50,43,0.0690000000004147,1,1
1000,50,44,0.068000000000211,1,1
1000,50,45,0.0689999999995052,1,1
1000,50,46,0.068000000000211,1,1
1000,50,47,0.069999999999709,1,1
1000,50,48,0.216999999999643,1,1
1000,50,49,0.068000000000211,1,1
1000,50,50,0.069999999999709,1,1
1000,50,51,0.0679999999993015,1,1
1000,50,52,0.0679999999993015,1,1
1000,50,53,0.0709999999999127,1,1
